EV,P/B,EV/T12M EBITDA,P/S,P/E,Log CAP,date
-0.6316741547984221,-0.33689099487450636,-0.47627659578258397,-0.7225276553180909,-0.22591404969203793,-2.8682520397154607,2008-02-01
-0.35706841663893857,-0.06502326093786613,-0.05578341629679185,0.5703049864445114,-0.056345099920046014,0.24695843736066653,2008-02-01
6.131448131609967,-0.031665453931012194,-0.2221940154041964,-0.3652755326717118,-0.12351402658824223,1.2703977740291283,2008-02-01
-0.6316741547984221,-0.33689099487450636,-0.47627659578258397,-0.7225276553180909,-0.22591404969203793,-2.8682520397154607,2008-02-01
-0.3007852022007703,-0.1891429045912588,0.22227840047525227,-0.34673312848502674,0.42234766539411006,0.172285898033136,2008-02-01
3.0754416049657323,-0.0840320690732747,-0.13187525816433765,-0.5740532731060488,-0.08625250187209775,1.0076737392066084,2008-02-01
-0.6316741547984221,-0.33689099487450636,-0.47627659578258397,-0.3745467347650543,-0.09033157244168476,0.21582658108707606,2008-02-01
-0.530283071835595,-0.19209947322770443,0.193302335907171,1.2722404009110182,0.1009814341407572,-0.26315917267528305,2008-02-01
-0.49499049984589255,-0.197538595420296,-0.3083705089080119,-0.45309516999319827,-0.08402345416556177,-0.1461494017002336,2008-02-01
-0.6316741547984221,-0.33689099487450636,-0.47627659578258397,-0.7225276553180909,-0.22591404969203793,-2.8682520397154607,2008-02-01
1.9601326045629424,-0.17218280570121336,-0.255700062759068,-0.4204162098449443,-0.09455288574429584,0.8161546306489765,2008-02-01
-0.5973198569258626,0.4725339425837113,-0.47627659578258397,2.868860332256934,-0.22591404969203793,-0.3618936034537056,2008-02-01
-0.0664907204047759,-0.2088426499623585,-0.29731260332803006,-0.6343566313283437,-0.1644816683666545,0.430048199939773,2008-02-01
-0.6316741547984221,-0.33689099487450636,-0.47627659578258397,-0.7225276553180909,-0.22591404969203793,-2.8682520397154607,2008-02-01
0.5798704547003285,-0.06262908307465745,-0.08933298313695136,-0.3698976188465269,-0.07914036522089352,0.68166899056804,2008-02-01
0.663039730397686,0.1696061696565852,0.987461728708929,-0.2984850359584484,-0.07282357360739102,0.699590712195093,2008-02-01
-0.02289092579948305,-0.16479941826400268,-0.13581179342447425,-0.15795739839784276,-0.06551975620009948,0.43468562378413755,2008-02-01
0.3644967137246148,-0.08551035339149754,-0.17365000772391836,-0.48507135680493063,-0.10176129644041272,0.6424400019233233,2008-02-01
-0.6316741547984221,-0.33689099487450636,-0.47627659578258397,-0.6577103298958306,-0.040069582327381705,-0.1831336314515821,2008-02-01
-0.6316741547984221,-0.33689099487450636,-0.47627659578258397,-0.7225276553180909,-0.22591404969203793,-2.8682520397154607,2008-02-01
-0.6316741547984221,-0.33689099487450636,-0.47627659578258397,-0.7225276553180909,-0.22591404969203793,-2.8682520397154607,2008-02-01
-0.5145399167583649,-0.2501623034874668,-0.1911725350275819,-0.6706305473903428,-0.04477920452445962,-0.16132207386880995,2008-02-01
-0.43578833624824787,0.0620127805824552,-0.023258535519321107,0.8890667540444772,-0.037594211839267457,0.15234234012890288,2008-02-01
-0.276771620871043,-0.21628227647689285,0.008771805652604785,-0.11041207920778584,-0.054476863048497984,0.30044970086748923,2008-02-01
-0.41849565899429686,0.18095842912206803,-0.17724234341859585,-0.51507437232566,-0.08203812723939026,0.15781000295416306,2008-02-01
