xs_return,date
0.034761192999999996,2008-02-01
0.229209828,2008-02-01
-0.046085774999999995,2008-02-01
0.034761192999999996,2008-02-01
0.006657907999999997,2008-02-01
0.12601918899999998,2008-02-01
0.062039555999999996,2008-02-01
0.004807786999999994,2008-02-01
-0.0035233260000000002,2008-02-01
0.034761192999999996,2008-02-01
-0.06845588200000001,2008-02-01
-0.076685891,2008-02-01
-0.09885986399999999,2008-02-01
0.034761192999999996,2008-02-01
0.020268439,2008-02-01
0.101562812,2008-02-01
0.06478373,2008-02-01
-0.08117316399999999,2008-02-01
0.32078807600000003,2008-02-01
0.034761192999999996,2008-02-01
0.034761192999999996,2008-02-01
-0.011565743000000003,2008-02-01
-0.07916501000000001,2008-02-01
-0.026529130000000005,2008-02-01
0.179554346,2008-02-01
0.18705365899999998,2008-02-01
-0.043563528000000004,2008-02-01
-0.03158027000000001,2008-02-01
0.015688519999999994,2008-02-01
-0.042956198,2008-02-01
0.034761192999999996,2008-02-01
0.13699487,2008-02-01
-0.038918534000000005,2008-02-01
-0.03737689500000001,2008-02-01
0.066128234,2008-02-01
0.14677727499999998,2008-02-01
0.013250174999999996,2008-02-01
-0.18695286500000002,2008-02-01
0.064115746,2008-02-01
0.030100394999999995,2008-02-01
0.136261193,2008-02-01
0.021053620999999995,2008-02-01
0.229883144,2008-02-01
-0.026868048,2008-02-01
-0.095412772,2008-02-01
-0.036112593,2008-02-01
-0.05352403600000001,2008-02-01
0.048078383999999995,2008-02-01
0.13400578800000001,2008-02-01
0.034761192999999996,2008-02-01
-0.09786910500000001,2008-02-01
0.034761192999999996,2008-02-01
0.12970986899999998,2008-02-01
0.006634781999999995,2008-02-01
0.014207256999999994,2008-02-01
-0.036654721,2008-02-01
0.0012314509999999945,2008-02-01
-0.051810512,2008-02-01
0.034761192999999996,2008-02-01
0.032159735999999994,2008-02-01
-0.003389096000000001,2008-02-01
-0.089814118,2008-02-01
0.003305659999999995,2008-02-01
-0.08202249600000001,2008-02-01
-0.018130858,2008-02-01
0.034761192999999996,2008-02-01
0.103409278,2008-02-01
-0.150334233,2008-02-01
0.062534179,2008-02-01
0.0006425899999999984,2008-02-01
0.174004261,2008-02-01
0.058686919,2008-02-01
0.022593050999999996,2008-02-01
-0.001636257000000002,2008-02-01
0.019388170999999996,2008-02-01
0.034761192999999996,2008-02-01
-0.099537501,2008-02-01
-0.165729235,2008-02-01
0.034761192999999996,2008-02-01
0.041563648999999994,2008-02-01
-0.057638418,2008-02-01
0.016625537999999995,2008-02-01
0.07071374999999999,2008-02-01
0.001427859999999996,2008-02-01
0.034761192999999996,2008-02-01
0.061001923,2008-02-01
-0.004356316000000006,2008-02-01
0.034761192999999996,2008-02-01
0.03820818399999999,2008-02-01
0.034761192999999996,2008-02-01
0.066964583,2008-02-01
-0.010277512000000003,2008-02-01
0.18669987600000001,2008-02-01
0.061054501,2008-02-01
0.017824941999999996,2008-02-01
0.04683754699999999,2008-02-01
0.004805389999999996,2008-02-01
0.034761192999999996,2008-02-01
0.034761192999999996,2008-02-01
-0.014686160000000004,2008-02-01
0.046753965999999994,2008-02-01
-0.021849570000000006,2008-02-01
-0.09218816600000002,2008-02-01
0.034761192999999996,2008-02-01
0.062108131999999996,2008-02-01
0.03572489399999999,2008-02-01
-0.106067209,2008-02-01
0.034761192999999996,2008-02-01
0.169583221,2008-02-01
-0.235050128,2008-02-01
0.07669451999999999,2008-02-01
0.08238024099999999,2008-02-01
-0.036685802,2008-02-01
0.0036821279999999963,2008-02-01
0.034761192999999996,2008-02-01
0.039937878999999996,2008-02-01
0.034761192999999996,2008-02-01
-0.033921793000000006,2008-02-01
0.200981032,2008-02-01
-0.093437308,2008-02-01
-0.21230888300000003,2008-02-01
0.034761192999999996,2008-02-01
0.08782067099999999,2008-02-01
0.021496247999999996,2008-02-01
0.010744724999999997,2008-02-01
0.034761192999999996,2008-02-01
0.034761192999999996,2008-02-01
0.034761192999999996,2008-02-01
-0.022603990000000004,2008-02-01
0.113135733,2008-02-01
0.119023031,2008-02-01
0.034761192999999996,2008-02-01
0.07263998099999999,2008-02-01
0.00033864399999999906,2008-02-01
0.06246030799999999,2008-02-01
0.09844496999999999,2008-02-01
-0.188215891,2008-02-01
0.014605644999999997,2008-02-01
-0.01870989600000001,2008-02-01
0.04210859299999999,2008-02-01
-0.042961167999999994,2008-02-01
-0.004627402000000003,2008-02-01
-0.078502374,2008-02-01
-0.10864966000000001,2008-02-01
0.034761192999999996,2008-02-01
0.064180548,2008-02-01
-0.00878311100000001,2008-02-01
0.034761192999999996,2008-02-01
-0.022928269000000008,2008-02-01
-0.0022991090000000075,2008-02-01
-0.08418916000000001,2008-02-01
0.034761192999999996,2008-02-01
0.020459640999999994,2008-02-01
-0.028652392999999998,2008-02-01
0.030588730999999994,2008-02-01
0.048738320999999994,2008-02-01
-0.03939332100000001,2008-02-01
0.065673094,2008-02-01
0.034761192999999996,2008-02-01
-0.025525167,2008-02-01
-0.107242788,2008-02-01
0.029624708999999996,2008-02-01
-0.050913050000000015,2008-02-01
-0.054810054,2008-02-01
-0.205445994,2008-02-01
0.034761192999999996,2008-02-01
0.082783792,2008-02-01
-0.045925661000000007,2008-02-01
0.034761192999999996,2008-02-01
0.32417803999999995,2008-02-01
0.060413964,2008-02-01
-0.043005507,2008-02-01
0.00031758999999999954,2008-02-01
0.034761192999999996,2008-02-01
0.050760059999999996,2008-02-01
-0.017642024000000006,2008-02-01
0.061386366,2008-02-01
0.070548624,2008-02-01
0.11889791499999999,2008-02-01
